product_name,retail_price,used_price_avg,retail_link
헬로카봇 스타렉스 댄디,28480,6000,https://search.shopping.naver.com/catalog/29183272305
헬로카봇 인피니티툴 톡시젬 세트,46530,,https://search.shopping.naver.com/catalog/48299080947
헬로카봇 패트론 S,71330,,https://search.shopping.naver.com/catalog/55614064607
헬로카봇 벨로스터 스카이,48000,20000,https://smartstore.naver.com/main/products/6929932278
헬로카봇 비트런,29700,12571.42857,https://search.shopping.naver.com/catalog/35127523085
헬로카봇 킹가이즈,42820,10295.33333,https://search.shopping.naver.com/catalog/39538681749
헬로카봇 루크,22050,9500,https://search.shopping.naver.com/catalog/51946661690
헬로카봇 마이티가드,79900,24777.77778,https://smartstore.naver.com/main/products/11811833481
헬로카봇 컨버스터,56345,10500,https://search.shopping.naver.com/catalog/13769212688
헬로카봇 트리톤,33530,10000,https://search.shopping.naver.com/catalog/51037231313
헬로카봇 메가볼드,52150,9420,https://search.shopping.naver.com/catalog/35434281618
헬로카봇 오토소닉,34790,12000,https://search.shopping.naver.com/catalog/36289626154
헬로카봇 스타피너,47180,12750,https://search.shopping.naver.com/catalog/51615604621
헬로카봇 테고,34830,13000,https://search.shopping.naver.com/catalog/53691704284
헬로카봇 나이트,22420,8666.666667,https://search.shopping.naver.com/catalog/52001128864
헬로카봇 소나다이버,99900,7500,https://search.shopping.naver.com/catalog/21200601513
헬로카봇 펜타스톰,94560,31476.66667,https://search.shopping.naver.com/catalog/51763662852
헬로카봇 테라제트,33530,6000,https://search.shopping.naver.com/catalog/51232368433
헬로카봇 아머다이저,84790,29512.5,https://smartstore.naver.com/main/products/8126051186
헬로카봇 크랜,24800,6500,https://search.shopping.naver.com/catalog/11147608423
헬로카봇 그랜저 호크 블루,8600,6750,https://link.gmarket.co.kr/gate/pcs?item-no=1104166119&sub-id=1003&service-code=10000003&lcd=100000042
헬로카봇 펜타스톰 X,94560,63812.5,https://search.shopping.naver.com/catalog/51763662852
헬로카봇 카이온프라임,21160,15000,https://search.shopping.naver.com/catalog/30568216619
헬로카봇 미리내프라임 올스타,21650,10000,https://search.shopping.naver.com/catalog/55632892978
헬로카봇 아티 이순신,40000,16000,https://search.shopping.naver.com/catalog/35676872125
헬로카봇 에이스,39900,17500,https://smartstore.naver.com/main/products/10137912185
헬로카봇 에반프라임,23050,10000,https://search.shopping.naver.com/catalog/54561635564
헬로카봇 마이티로,79900,8000,https://smartstore.naver.com/main/products/11811833481
